kod;kod4;nazwa_en;zadania_en;zadania_en_2;nazwa_pl
46.73;'4673';Wholesale of motorcycles, motorcycle parts and accessories;"wholesale of new and used motorcycles, including mopeds; wholesale of parts and accessories for motorcycles; wholesale of protective gear for motorcyclists";;Sprzedaż hurtowa motocykli oraz części i akcesoriów do nich
46.81;'4681';Wholesale of solid, liquid and gaseous fuels and related products;"wholesale of fossil, low-carbon or carbon-free fuels, greases, lubricants, oils, e.g.: charcoal, coal, coke, fuelwood, pellets of wood or biomass, naphtha; crude petroleum, crude oil, diesel fuel, gasoline, fuel oil, heating";;Sprzedaż hurtowa paliw stałych, ciekłych, gazowych oraz produktów pochodnych
46.82;'4682';Wholesale of metals and metal ores;"wholesale of ferrous and non-ferrous metal ores; wholesale of ferrous and non-ferrous metals in primary forms; wholesale of gold and other precious metals; wholesale of semi-finished metal products and metal ores; wholesale of ferrous and non-ferrous semi-finished metal products n.e.c.";"wholesale of steel sheets on own account, including usual cutting operations associated with trade which do not include the production of new goods; wholesale of gold and other precious metals, purchased from households or enterprises and sold to retailers, to industrial, commercial, institutional or professional users, or to other wholesalers";Sprzedaż hurtowa metali i rud metali
46.83;'4683';Wholesale of wood, construction materials and sanitary equipment;"wholesale of wood in the rough; wholesale of products of primary processing of wood; wholesale of pallets, other load boards of wood, and barrels; wholesale of raw and assembled wood flooring; wholesale of construction materials: sand, gravel, cement, bricks, etc.: wholesale of scaffolding: wholesale of paints, varnishes and lacquers: wholesale of wallpaper and floor coverings (e.g. laminate, tiles, vinyl flooring): wholesale of flat glass: wholesale of sanitary equipment: baths, washbasins, toilets and other sanitary porcelain: wholesale of doors, windows and shutters (of any material) ";"wholesale of used marble bricks, steps, roof tiles; wholesale of street furniture, i.e. benches, traffic barriers, bollards, streetlamps, traffic lights, traffic signs, bus and tram stops; wholesale of prefabricated buildings; wholesale of thermal insulation material; wholesale of reservoirs, tanks, vats and similar containers of plastics for construction";Sprzedaż hurtowa drewna, materiałów budowlanych i wyposażenia sanitarnego
46.84;'4684';Wholesale of hardware, plumbing and heating equipment and supplies;"wholesale of ironware and similar household hardware; wholesale of fittings; wholesale of hot water heaters, radiators and boilers; wholesale of sanitary installation equipment: tubes, pipes, fittings, taps, T pieces, connections, rubber pipes, etc.: wholesale of tools (e.g. hammers, saws, screwdrivers and other hand tools), including power hand tools: wholesale of heating, ventilation and air-conditioning equipment, for non-domestic use";;Sprzedaż hurtowa wyrobów metalowych oraz sprzętu i dodatkowego wyposażenia hydraulicznego i grzejnego
46.85;'4685';Wholesale of chemical products;wholesale of industrial chemicals (e.g. aniline, essential oils, chemical glues, methanol, paraffin, scents and flavourings, soda, industrial salt, acids and sulphurs, starch derivates, industrial gases, dyes and pigments, other organic and inorganic basic chemicals, glazes, printing inks and adhesives): wholesale of explosives and pyrotechnic products: wholesale of fertilisers and agrochemical products: wholesale of hydrogen;wholesale of e-liquids for electronic cigarettes;Sprzedaż hurtowa wyrobów chemicznych
46.86;'4686';Wholesale of other intermediate products;"wholesale of plastic materials in primary forms; wholesale of rubber; wholesale of textile fibres; wholesale of packaging articles; wholesale of raw precious stones; wholesale of unworked synthetic or reconstructed precious or emi-precious stones: wholesale of non-metallic ores: wholesale of paper in bulk and of paper pulp";;Sprzedaż hurtowa pozostałych półproduktów
46.87;'4687';Wholesale of waste and scrap;wholesale of metal and non-metal waste and scrap and materials for recycling, including collecting, sorting, separating, stripping of used goods (e.g. cars in order to obtain reusable parts), packing and repacking, storage and delivery, but without a transformation process. Additionally, the purchased and sold waste has a remaining value: wholesale of usable goods (metal, plastics), following the dismantling of cars, computers, televisions and other equipment on own account by the unit without further transformation of the goods: wholesale of car wrecks;;Sprzedaż hurtowa odpadów i złomu
46.89;'4689';Other specialised wholesale n.e.c.;other specialised wholesale activities not classified in other classes of this division.;;Pozostała sprzedaż hurtowa wyspecjalizowana gdzie indziej niesklasyfikowana
46.9;'4690';Non-specialised wholesale trade;wholesale of a variety of goods without any particular specialisation;;Sprzedaż hurtowa niewyspecjalizowana
47.11;'4711';Non-specialised retail sale of predominately food, beverages or tobacco;retail sale of a large variety of goods (e.g. wearing apparel, furniture, appliances, hardware, cosmetics) among which, however, food products, beverages or tobacco should be predominant;;Sprzedaż detaliczna niewyspecjalizowana z przewagą żywności, napojów lub wyrobów tytoniowych
